location,latitude,longitude,population
Pullman,46.7340,-117.1669,34506
Boardman,41.0334,-80.6671,34431
Nacogdoches,31.6134,-94.6528,34420
Kearney,40.7010,-99.0834,34418
Vestavia Hills,33.4518,-86.7438,34413
North Ridgeville,41.3851,-82.0194,34392
Socorro,31.6384,-106.2601,34370
Randolph,42.1778,-71.0539,34362
Norristown,40.1224,-75.3398,34341
Montgomery Village,39.1783,-77.1957,34332
Redmond,44.2631,-121.1798,34240
Firestone,40.1563,-104.9494,34230
Goshen,41.5743,-85.8308,34217
Butte,45.9020,-112.6571,34207
Russellville,35.2763,-93.1383,34205
Grass Valley,39.2237,-121.0521,34196
Parkland,26.3218,-80.2533,34170
University City,38.6657,-90.3315,34165
Midvale,40.6148,-111.8928,34124
Golden Glades,25.9129,-80.2013,34109
Franklin,42.0862,-71.4113,34087
Kennesaw,34.0260,-84.6177,34077
Adelanto,34.5815,-117.4397,34049
Ken Caryl,39.5770,-105.1144,34040
Carlsbad,32.4011,-104.2389,34031
University Place,47.2147,-122.5461,34001
Chester,39.8456,-75.3718,34000
Douglasville,33.7384,-84.7065,33992
Salisbury,35.6656,-80.4909,33988
Laramie,41.3099,-105.6085,33929
Lake Stevens,48.0028,-122.0960,33911
Foster City,37.5553,-122.2659,33901
Valparaiso,41.4782,-87.0507,33897
Fairborn,39.8010,-84.0093,33876
Estero,26.4277,-81.7951,33871
Mason,39.3571,-84.3023,33870
Cottonwood Heights,40.6137,-111.8144,33843
Kaneohe,21.4062,-157.7904,33841
Sonoma,38.2902,-122.4598,33831
Beverly Hills,34.0786,-118.4021,33792
Galesburg,40.9506,-90.3763,33767
Warsaw,41.2448,-85.8464,33708
San Dimas,34.1082,-117.8090,33621
Glendale Heights,41.9196,-88.0785,33617
Dana Point,33.4733,-117.6968,33577
Midlothian,32.4668,-96.9892,33532
Newark,39.6776,-75.7573,33515
Alamogordo,32.8837,-105.9624,33513
Alabaster,33.2198,-86.8225,33487
Pikesville,39.3893,-76.7020,33486
Fair Oaks,38.8653,-77.3586,33481
Deer Park,29.6898,-95.1151,33474
Long Beach,40.5887,-73.6660,33454
Woodridge,41.7368,-88.0408,33432
Bridgeton,39.4286,-75.2281,33379
Greer,34.9313,-82.2315,33373
Springville,40.1638,-111.6206,33310
Saratoga Springs,40.3449,-111.9152,33282
Copperas Cove,31.1192,-97.9140,33235
American Fork,40.3792,-111.7952,33161
Franklin,41.1101,-74.5886,33153
Andover,45.2571,-93.3265,33140
Matthews,35.1195,-80.7101,33138
Woodstock,34.1026,-84.5090,33039
Florence,38.9900,-84.6470,33004
Northbrook,42.1292,-87.8353,32958
West Little River,25.8570,-80.2367,32897
Fair Lawn,40.9359,-74.1177,32896
St. Charles,41.9193,-88.3109,32887
Huntington Station,40.8446,-73.4050,32866
Fairmont,39.4768,-80.1491,32847
Ridgecrest,35.6308,-117.6621,32684
Massillon,40.7838,-81.5254,32584
Spanaway,47.0979,-122.4233,32575
Starkville,33.4608,-88.8297,32546
Harker Heights,31.0572,-97.6445,32421
Elk Grove Village,42.0063,-87.9921,32400
Kaysville,41.0290,-111.9456,32390
Lawndale,33.8884,-118.3531,32389
Southlake,32.9545,-97.1503,32376
Ferry Pass,30.5203,-87.1903,32376
Savage,44.7544,-93.3631,32362
Des Moines,47.3915,-122.3157,32348
Bethel Park,40.3239,-80.0364,32345
Princeton,25.5396,-80.3971,32299
Dania Beach,26.0594,-80.1637,32271
Spring Valley,41.1151,-74.0486,32261
Bowling Green,41.3773,-83.6500,32249
Springfield,38.7809,-77.1839,32222
East Lake,28.1205,-82.6868,32169
College Park,38.9960,-76.9337,32163
Coos Bay,43.3789,-124.2330,32159
Smithfield,35.5131,-78.3497,32156
Rome,43.2260,-75.4909,32148
Clearfield,41.1030,-112.0237,32118
Liberty,39.2394,-94.4191,32100
Eastpointe,42.4657,-82.9461,32081
Franklin Square,40.7002,-73.6775,32055
Pekin,40.5679,-89.6262,32045
Westlake,41.4524,-81.9295,32032
Uniondale,40.7176,-73.5947,32007
Chillicothe,39.3393,-82.9937,31999
La Verne,34.1208,-117.7702,31974
Juneau,58.4546,-134.1739,31974
Prairieville,30.3151,-90.9571,31974
Placerville,38.7308,-120.7978,31943
Bel Air North,39.5544,-76.3733,31941
Redan,33.7394,-84.1644,31873
Martinsville,36.6827,-79.8636,31871
Pueblo West,38.3551,-104.7266,31849
Garfield,40.8791,-74.1085,31802
Fallbrook,33.3693,-117.2259,31701
Spring Valley,32.7316,-116.9766,31650
Hopkinsville,36.8386,-87.4776,31569
Rochester,43.2990,-70.9787,31526
South Riding,38.9120,-77.5132,31515
Centereach,40.8696,-73.0808,31493
Milledgeville,33.0874,-83.2414,31471
Syracuse,41.0860,-112.0698,31458
Parkville,39.3832,-76.5519,31451
Sherwood,34.8508,-92.2028,31436
Garner,35.6934,-78.6196,31407
Key West,24.5637,-81.7768,31401
Miami Lakes,25.9125,-80.3214,31367
Petersburg,37.2043,-77.3913,31346
North Olmsted,41.4150,-81.9190,31341
Kahului,20.8715,-156.4603,31336
Wheat Ridge,39.7728,-105.1029,31324
Fruit Cove,30.0972,-81.6176,31314
Cibolo,29.5639,-98.2123,31281
Alliance,40.9107,-81.1189,31255
Banning,33.9460,-116.8992,31221
Laguna Hills,33.5920,-117.6992,31207
Central Islip,40.7837,-73.1945,31205
Athens,34.7847,-86.9510,31187
Princeton,40.3563,-74.6693,31187
Orcutt,34.8668,-120.4269,31118
Naugatuck,41.4890,-73.0518,31108
Eldersburg,39.4041,-76.9529,31108
Columbus,33.5088,-88.4096,31084
Mundelein,42.2691,-88.0101,31051
Fair Oaks,38.6504,-121.2497,31032
San Pablo,37.9628,-122.3425,30990
Rexburg,43.8224,-111.7920,30979
Nogales,31.3624,-110.9336,30917
Nicholasville,37.8902,-84.5669,30912
Goleta,34.4360,-119.8596,30911
Opelika,32.6612,-85.3769,30908
Algonquin,42.1629,-88.3159,30897
Marrero,29.8871,-90.1127,30894
Burlingame,37.5860,-122.3669,30889
Aiken,33.5310,-81.7268,30869
Lawrenceville,33.9523,-83.9931,30834
Winter Park,28.5987,-81.3438,30825
Lake Magdalene,28.0875,-82.4791,30805
Fitchburg,42.9859,-89.4255,30792
Granger,41.7373,-86.1350,30776
Wooster,40.8171,-81.9335,30750
Fountain,38.6886,-104.6829,30735
Brooklyn Center,45.0681,-93.3162,30690
Kerrville,30.0398,-99.1320,30623
Barstow,34.8661,-117.0472,30605
Oceanside,40.6328,-73.6364,30604
Canton,34.2467,-84.4900,30528
Auburn,42.9338,-76.5684,30507
Crown Point,41.4141,-87.3457,30488
Windsor,40.4693,-104.9213,30477
Lakeside,30.1356,-81.7674,30458
Gloucester,42.6260,-70.6897,30430
Gurnee,42.3708,-87.9392,30378
Orangeburg,33.4928,-80.8670,30365
Holladay,40.6599,-111.8226,30325
Fuquay-Varina,35.5958,-78.7794,30324
Chamblee,33.8842,-84.3008,30307
Carney,39.4050,-76.5236,30289
Peru,41.3484,-89.1370,30287
Sterling,39.0052,-77.4050,30271
Cornelius,35.4725,-80.8801,30257
North Tonawanda,43.0457,-78.8659,30245
Long Branch,40.2965,-73.9915,30241
Santa Paula,34.3521,-119.0698,30233
Los Gatos,37.2303,-121.9560,30222
South Lake Tahoe,38.9393,-119.9828,30188
San Carlos,37.4982,-122.2680,30185
Clinton,41.8434,-90.2408,30177
Saratoga,37.2684,-122.0263,30153
Los Altos,37.3685,-122.0966,30089
Ballwin,38.5951,-90.5500,30082
Atascadero,35.4827,-120.6858,30075
North Royalton,41.3138,-81.7452,30068
Somerset,37.0815,-84.6091,30053
Seguin,29.5889,-97.9671,29992
Fortuna Foothills,32.6616,-114.3973,29955
Milford Mill,39.3444,-76.7668,29926
Pasadena,39.1552,-76.5537,29918
Stockbridge,33.5253,-84.2294,29904
East Liverpool,40.6333,-80.5677,29898
Rahway,40.6077,-74.2807,29895
Madison Heights,42.5073,-83.1034,29886
Williston,48.1814,-103.6364,29844
Bay Shore,40.7317,-73.2505,29799
Eagle,43.7223,-116.3862,29796
Westchester,25.7474,-80.3358,29778
Maryville,35.7468,-83.9789,29742
Walnut,34.0334,-117.8593,29685
Suisun City,38.2473,-122.0090,29663
Garden City,37.9754,-100.8529,29659
Texarkana,33.4361,-93.9960,29657
Kent,41.1490,-81.3610,29646
West Falls Church,38.8648,-77.1878,29623
North Chicago,42.3172,-87.8596,29615
Greenville,33.3850,-91.0514,29613
Duluth,34.0053,-84.1492,29609
Aberdeen,46.9757,-123.8094,29609
Winona,44.0505,-91.6684,29601
O'Fallon,38.5976,-89.9155,29583
Drexel Heights,32.1457,-111.0478,29568
Ukiah,39.1463,-123.2105,29561
Atwater,37.3543,-120.5981,29559
Golden Gate,26.1844,-81.7031,29552
Sanford,43.4244,-70.7573,29535
Highland Park,42.1823,-87.8105,29515
Westfield,40.6515,-74.3433,29512
Hermiston,45.8323,-119.2858,29512
Oak Park,42.4649,-83.1824,29431
Central,30.5593,-91.0369,29357
East Lake-Orient Park,27.9971,-82.3653,29346
Chicago Heights,41.5101,-87.6345,29322
East Palo Alto,37.4671,-122.1352,29314
Newberg,45.3075,-122.9601,29225
Lewes,38.7777,-75.1448,29187
North Attleborough,41.9699,-71.3345,29180
Washington,37.1304,-113.4877,29174
Port Chester,41.0052,-73.6680,29163
Oak Ridge,35.9639,-84.2938,29156
Crofton,39.0144,-76.6800,29136
Athens,39.3269,-82.0988,29122
Laplace,30.0731,-90.4758,29108
SeaTac,47.4444,-122.2986,29044
Raytown,38.9944,-94.4641,28991
Paragould,36.0555,-90.5149,28986
Graham,47.0407,-122.2756,28976
Southgate,42.2047,-83.2057,28959
Harrison,41.0233,-73.7192,28943
Niles,42.0278,-87.8099,28938
Fernandina Beach,30.6579,-81.4504,28931
Big Spring,32.2387,-101.4802,28913
Bella Vista,36.4667,-94.2707,28872
Milton,41.0090,-76.8507,28851
Morrisville,35.8367,-78.8348,28846
Greenville,33.1116,-96.1098,28827
Casselberry,28.6625,-81.3218,28757
Plattsburgh,44.6951,-73.4563,28740
Wasco,35.5938,-119.3671,28710
South Laurel,39.0603,-76.8456,28683
Fleming Island,30.0988,-81.7124,28676
Belle Glade,26.6920,-80.6672,28665
Lake in the Hills,42.1913,-88.3476,28634
Agawam,42.0657,-72.6526,28613
Shirley,40.7949,-72.8743,28583
Burton,42.9974,-83.6175,28574
Geneva,42.8644,-76.9827,28563
Schererville,41.4860,-87.4440,28527
Independence,38.9510,-84.5492,28521
West Springfield,42.1253,-72.6503,28517
Austintown,41.0932,-80.7405,28488
Burlington,40.8072,-91.1247,28474
Shamokin,40.7883,-76.5550,28457
New Iberia,30.0049,-91.8202,28454
Northampton,42.3266,-72.6745,28451
Englewood,40.8917,-73.9736,28402
Vineyard,38.4744,-121.3190,28386
Zionsville,39.9897,-86.3182,28357
Short Pump,37.6549,-77.6201,28328
Burbank,41.7444,-87.7686,28289
Lumberton,34.6312,-79.0186,28279
Perry Hall,39.4067,-76.4781,28266
Aberdeen,45.4646,-98.4680,28257
Benicia,38.0725,-122.1525,28240
Oakleaf Plantation,30.1689,-81.8337,28237
Jacksonville,34.8807,-92.1302,28235
Winchester,36.1368,-115.1299,28231
Rockledge,28.3201,-80.7320,28227
Henderson,37.8397,-87.5798,28207
Monterey,36.5922,-121.8807,28178
Converse,29.5091,-98.3084,28171
Granite City,38.7292,-90.1266,28158
Yukon,35.5201,-97.7639,28084
Sonora,37.9819,-120.3828,28035
Melrose,42.4556,-71.0590,28016
Mehlville,38.5018,-90.3149,27971
Wisconsin Rapids,44.3927,-89.8265,27966
Galt,38.2693,-121.3000,27954
Hutto,30.5373,-97.5516,27947
Bixby,35.9454,-95.8773,27944
Hobart,41.5139,-87.2729,27939
Drexel Hill,39.9495,-75.3039,27939
Oakdale,44.9876,-92.9641,27933
Sunbury,40.8617,-76.7874,27921
Summerlin South,36.1242,-115.3324,27908
New Smyrna Beach,29.0249,-80.9651,27843
Tualatin,45.3772,-122.7746,27837
Forest Hills,42.9577,-85.4895,27830
Fridley,45.0841,-93.2595,27826
East Chicago,41.6484,-87.4536,27817
Kirkwood,38.5788,-90.4203,27807
Sanger,36.6990,-119.5575,27777
Morgan City,29.7041,-91.1920,27728
Ramsey,45.2617,-93.4494,27721
Ruston,32.5329,-92.6363,27717
Jeffersontown,38.2048,-85.5701,27715
Glen Ellyn,41.8667,-88.0629,27714
Isla Vista,34.4144,-119.8581,27707
Cañon City,38.4430,-105.2203,27676
Monticello,45.2980,-93.7984,27665
Ashtabula,41.8806,-80.7984,27645
Temescal Valley,33.7581,-117.4677,27630
Bridgewater,41.9728,-70.9749,27619
Mint Hill,35.1782,-80.6533,27617
Mililani Town,21.4465,-158.0147,27562
Statesville,35.7842,-80.8714,27528
Gloversville,43.0491,-74.3465,27512
Gladstone,39.2133,-94.5593,27489
Deer Park,40.7623,-73.3219,27479
Fremont,41.4396,-96.4879,27456
Garfield Heights,41.4199,-81.6038,27448
Imperial Beach,32.5689,-117.1184,27440
Seneca,34.6815,-82.9609,27439
Florence,33.0590,-111.4208,27422
Bayonet Point,28.3254,-82.6834,27418
Lansing,41.5648,-87.5462,27402
Millville,39.3903,-75.0561,27391
Monroeville,40.4262,-79.7605,27380
St. Helens,45.8571,-122.8164,27353
Bergenfield,40.9236,-73.9983,27327
Ladera Ranch,33.5491,-117.6416,27277
Horn Lake,34.9512,-90.0501,27272
Prior Lake,44.7251,-93.4409,27241
Huntley,42.1599,-88.4330,27228
Maple Valley,47.3659,-122.0368,27202
Easton,40.6858,-75.2209,27189
Oak Forest,41.6054,-87.7527,27173
Glen Cove,40.8709,-73.6287,27166
Indiana,40.6220,-79.1552,27142
Shoreview,45.0842,-93.1358,27130
Windsor,38.5417,-122.8086,27128
Sterling,41.7995,-89.6956,27127
Dodge City,37.7610,-100.0183,27104
Colleyville,32.8913,-97.1486,27091
Wilmette,42.0771,-87.7282,27089
Plum,40.5024,-79.7496,27087
Mount Pleasant,42.7129,-87.8875,27082
McHenry,42.3388,-88.2931,27061
Waterville,44.5441,-69.6624,27054
Norfolk,42.0327,-97.4208,27032
Shaker Heights,41.4744,-81.5496,27027
Citrus Park,28.0730,-82.5628,27026
Reisterstown,39.4552,-76.8144,27007
Erie,40.0403,-105.0398,27003
Brownsburg,39.8330,-86.3824,27001
Chaska,44.8164,-93.6092,26989
Ilchester,39.2187,-76.7684,26974
Shelby,35.2904,-81.5451,26973
Maywood,33.9885,-118.1877,26973
Maryland Heights,38.7189,-90.4749,26956
Magna,40.7634,-112.1599,26949
Xenia,39.6828,-83.9414,26947
Belmont,37.5154,-122.2955,26941
Allen Park,42.2595,-83.2107,26940
Mason City,43.1487,-93.1998,26931
New Lenox,41.5097,-87.9700,26926
Hanahan,32.9302,-80.0027,26917
Kinston,35.2748,-77.5936,26889
Searcy,35.2418,-91.7351,26889
New London,41.3502,-72.1023,26858
West Islip,40.7097,-73.2971,26844
West Chicago,41.8960,-88.2253,26816
Kiryas Joel,41.3406,-74.1660,26813
Lemon Grove,32.7331,-117.0344,26811
Lindenhurst,40.6858,-73.3710,26801
McDonough,33.4399,-84.1509,26768
West Linn,45.3669,-122.6399,26736
Cortland,42.6004,-76.1784,26729
Lemoore,36.2949,-119.7983,26725
Alvin,29.3871,-95.2933,26723
Waynesboro,39.7525,-77.5822,26694
Marshalltown,42.0341,-92.9067,26666
Lebanon,43.6353,-72.2531,26666
West Whittier-Los Nietos,33.9759,-118.0689,26654
Leisure City,25.4937,-80.4369,26652
Thomasville,35.8813,-80.0807,26649
Temple Terrace,28.0437,-82.3774,26639
Lafayette,37.8919,-122.1189,26638
University Park,25.7469,-80.3684,26620
Norco,33.9252,-117.5499,26604
Immokalee,26.4253,-81.4251,26597
Vernon Hills,42.2340,-87.9608,26521
Pearl,32.2730,-90.0918,26510
Bethany,45.5613,-122.8369,26501
Marquette,46.5440,-87.4082,26491
Sedalia,38.7042,-93.2351,26473
Bessemer,33.3709,-86.9713,26472
Plainview,40.7832,-73.4732,26453
Batavia,41.8479,-88.3110,26420
Garden City,42.3244,-83.3412,26408
Chanhassen,44.8544,-93.5621,26389
Cabot,34.9768,-92.0274,26352
Vicksburg,32.3173,-90.8868,26340
Brawley,32.9783,-115.5287,26309
Neenah,44.1670,-88.4764,26300
Snoqualmie,47.5293,-121.8412,26289
Troy,40.0436,-84.2191,26281
Hercules,38.0064,-122.2564,26276
Lake City,30.1901,-82.6470,26271
Paramus,40.9455,-74.0712,26264
Okeechobee,27.2414,-80.8298,26256
Soledad,36.4432,-121.3426,26207
Muscatine,41.4196,-91.0680,26168
Boone,36.2111,-81.6668,26146
Moscow,46.7307,-116.9986,26145
Cliffside Park,40.8221,-73.9880,26133
Sebastian,27.7882,-80.4813,26118
Northport,33.2589,-87.5984,26115
Natchez,31.5437,-91.3867,26095
Winchester,38.0017,-84.1907,26083
Twentynine Palms,34.1478,-116.0659,26073
Holt,42.6416,-84.5307,26065
East St. Louis,38.6156,-90.1304,26047
Sachse,32.9726,-96.5793,26046
Paris,33.6688,-95.5460,26010
Haines City,28.1100,-81.6157,26009
Cave Spring,37.2254,-80.0073,26001
Superior,46.6941,-92.0823,25977
West Odessa,31.8388,-102.4996,25962
Medina,41.1358,-81.8694,25956
Conway,33.8399,-79.0424,25956
Barberton,41.0094,-81.6038,25953
Española,36.0041,-106.0669,25952
Dix Hills,40.8035,-73.3370,25925
Rock Springs,41.5951,-109.2238,25913
Mercer Island,47.5661,-122.2320,25894
Heber,40.5068,-111.3984,25877
White Bear Lake,45.0657,-93.0150,25875
Laurel,31.6956,-89.1448,25844
Holbrook,40.7944,-73.0707,25824
Bay Point,38.0329,-121.9614,25808
Woodstock,42.3096,-88.4352,25786
Lochearn,39.3460,-76.7307,25771
Green,40.9483,-81.4757,25752
Cloverleaf,29.7882,-95.1724,25718
Owatonna,44.0914,-93.2304,25704
Decatur,33.7711,-84.2968,25696
Pooler,32.1043,-81.2568,25694
Madison,32.4738,-90.1300,25661
Lancaster,34.7247,-80.7801,25649
Ewa Gentry,21.3344,-158.0262,25641
Laurel,39.0950,-76.8622,25631
Austin,43.6718,-92.9783,25626
Lockport,41.5904,-88.0292,25615
Franklin,39.4938,-86.0546,25608
South Salt Lake,40.7056,-111.8986,25582
Tarpon Springs,28.1493,-82.7623,25577
Edgewood,39.4210,-76.2968,25574
San Lorenzo,37.6737,-122.1349,25569
Bluffton,32.2135,-80.9316,25557
Sevierville,35.8873,-83.5677,25557
Forest Grove,45.5244,-123.1101,25553
Sun City West,33.6693,-112.3575,25544
South Portland,43.6310,-70.2895,25532
Ruskin,27.7065,-82.4209,25530
Denison,33.7672,-96.5807,25529
El Cerrito,37.9197,-122.3025,25508
Keystone,28.1312,-82.5999,25493
Coral Terrace,25.7464,-80.3049,25387
Claremore,36.3143,-95.6099,25384
Homewood,33.4617,-86.8092,25377
Farmington,40.9846,-111.9065,25339
Columbine,39.5879,-105.0694,25332
South Pasadena,34.1103,-118.1573,25329
Canyon Lake,29.8761,-98.2611,25325
Kingsville,27.5094,-97.8611,25315
Forest City,35.3338,-81.8702,25311
Salem,37.2864,-80.0555,25301
Bainbridge Island,47.6439,-122.5434,25298
Caledonia,42.7986,-87.8762,25277
Champlin,45.1702,-93.3903,25268
Edwardsville,38.7923,-89.9877,25233
South Bradenton,27.4612,-82.5821,25227
Fairland,39.0804,-76.9527,25220
Palm Springs,26.6349,-80.0968,25216
Elk River,45.3314,-93.5670,25213
Rosemount,44.7465,-93.0662,25207
Fountain Hills,33.6073,-111.7398,25200
Belvidere,42.2544,-88.8649,25143
Riverside,39.7836,-84.1219,25133
Middle River,39.3345,-76.4318,25129
Muskego,42.8860,-88.1291,25127
Levittown,18.4454,-66.1759,25121
Hazelwood,38.7931,-90.3899,25117
Scottsbluff,41.8684,-103.6616,25114
Fresno,29.5358,-95.4696,25072
Ridgewood,40.9822,-74.1128,25056
Yucca Valley,34.1234,-116.4216,25042
Branson,36.6510,-93.2635,25033
Balch Springs,32.7194,-96.6151,25007
University Park,32.8506,-96.7937,24985
Timberwood Park,29.6994,-98.4838,24978
De Pere,44.4309,-88.0785,24970
Socastee,33.6871,-79.0086,24964
Terrytown,29.9014,-90.0279,24953
Fajardo,18.3330,-65.6592,24950
Marysville,40.2278,-83.3595,24949
Derby,37.5571,-97.2552,24943
Wilsonville,45.3107,-122.7705,24918
Clayton,35.6591,-78.4499,24887
Brookings,44.3022,-96.7859,24887
Riverbank,37.7268,-120.9402,24881
North Laurel,39.1286,-76.8476,24873
Walker,42.9853,-85.7446,24869
Wyandotte,42.2113,-83.1558,24859
Grandview,38.8802,-94.5227,24856
Forest Lake,45.2536,-92.9583,24853
Chesapeake Beach,38.6881,-76.5448,24845
Palm City,27.1736,-80.2861,24840
Hudson,44.9637,-92.7316,24832
Clarksburg,39.2314,-77.2617,24767
South Elgin,41.9906,-88.3134,24755
Auburn Hills,42.6735,-83.2447,24748
Baldwin,40.6634,-73.6104,24727
North Tustin,33.7644,-117.7945,24705
Ontario,44.0259,-116.9759,24704
Melrose Park,41.9029,-87.8642,24703
Ardmore,34.1944,-97.1253,24698
Hastings,40.5963,-98.3914,24692
Burlington,42.6746,-88.2723,24691
Norton Shores,43.1621,-86.2519,24664
Kernersville,36.1066,-80.0844,24660
Sugar Hill,34.1081,-84.0560,24617
Herndon,38.9699,-77.3867,24601
Emporia,38.4028,-96.1924,24598
Prosper,33.2394,-96.8087,24579
Rockville Centre,40.6644,-73.6383,24550
Palmetto Bay,25.6220,-80.3221,24523
Suitland,38.8492,-76.9225,24522
Somerset,40.5083,-74.5010,24509
Avon Lake,41.4945,-82.0160,24504
Lathrop,37.8090,-121.3131,24483
Loma Linda,34.0451,-117.2498,24482
Watauga,32.8718,-97.2515,24481
Homer Glen,41.6044,-87.9497,24472
Tifton,31.4625,-83.5205,24466
Dinuba,36.5453,-119.3987,24461
Bloomingdale,27.8784,-82.2624,24446
Westmont,41.7948,-87.9742,24443
Clinton,32.3540,-90.3403,24440
Ashland,37.6942,-122.1159,24430
Opelousas,30.5280,-92.0851,24423
Camas,45.6005,-122.4305,24418
Harvey,41.6076,-87.6521,24408
Medford,40.8220,-72.9859,24406
Trotwood,39.7927,-84.3165,24403
West Memphis,35.1531,-90.1995,24402
Collinsville,38.6769,-90.0059,24395
Mequon,43.2352,-87.9838,24382
Ellensburg,46.9994,-120.5477,24377
Ottumwa,41.0196,-92.4186,24368
Chantilly,38.8868,-77.4453,24368
Shelbyville,38.2069,-85.2293,24351
Woodlawn,38.7332,-77.1149,24351
Lodi,40.8784,-74.0814,24347
Orchards,45.6890,-122.5306,24335
Newport,41.4803,-71.3205,24334
San Fernando,34.2886,-118.4363,24322
Saginaw,32.8657,-97.3654,24310
Peekskill,41.2883,-73.9227,24295
Port Angeles,48.1142,-123.4565,24293
Mill Creek East,47.8360,-122.1877,24291
Brandon,32.2778,-89.9896,24289
Sun City Center,27.7149,-82.3569,24286
Inkster,42.2935,-83.3148,24284
Thomasville,30.8394,-83.9782,24275
Ponca City,36.7235,-97.0679,24274
Cataño,18.4415,-66.1388,24271
Tysons,38.9215,-77.2273,24261
West Melbourne,28.0693,-80.6734,24259
Faribault,44.2985,-93.2786,24250
San Benito,26.1298,-97.6440,24243
Fort Washington,38.7339,-77.0069,24237
Lincolnton,35.4747,-81.2385,24229
West Springfield,38.7771,-77.2268,24223
Simpsonville,34.7287,-82.2573,24221
Waverly,42.7401,-84.6353,24201
Bailey's Crossroads,38.8477,-77.1305,24180
Okemos,42.7057,-84.4135,24141
Ridgeland,32.4236,-90.1481,24104
Elmwood Park,41.9225,-87.8163,24098
North Platte,41.1266,-100.7640,24098
Charles Town,39.2745,-77.8632,24094
Freeport,42.2893,-89.6347,24092
Waukee,41.5984,-93.8872,24089
South Plainfield,40.5748,-74.4153,24052
Wadsworth,41.0279,-81.7324,24046
Tumwater,46.9890,-122.9173,24024
Fairfax,38.8531,-77.2998,24019
Candler-McAfee,33.7267,-84.2723,24011
Oak Ridge,28.4727,-81.4169,24004
Venice,27.1163,-82.4135,23985
Wright,30.4445,-86.6419,23965
Lincolnia,38.8158,-77.1543,23933
Westchase,28.0597,-82.6110,23923
Edgewater,28.9594,-80.9407,23918
North Potomac,39.0955,-77.2372,23914
Pelham,33.3114,-86.7573,23911
Corsicana,32.0824,-96.4665,23906
Seal Beach,33.7542,-118.0714,23896
Fort Dodge,42.5098,-94.1751,23888
Dunkirk,42.4803,-79.3323,23874
Calabasas,34.1375,-118.6689,23853
Chalmette,29.9437,-89.9659,23851
North Augusta,33.5214,-81.9547,23845
Palm River-Clair Mel,27.9239,-82.3791,23844
Mount Pocono,41.1225,-75.3582,23820
Farragut,35.8731,-84.1822,23778
Jenks,35.9981,-95.9737,23767
Palatka,29.6493,-81.6705,23738
Coronado,32.6640,-117.1600,23731
Valinda,34.0401,-117.9300,23705
Centerville,39.6339,-84.1449,23703
Van Buren,35.4480,-94.3528,23683
Greeneville,36.1680,-82.8197,23683
Waycross,31.2108,-82.3579,23671
Half Moon Bay,37.4688,-122.4383,23653
Belton,38.8193,-94.5334,23642
Jacksonville Beach,30.2782,-81.4045,23628
North Lynnwood,47.8533,-122.2762,23620
Ilion,43.0114,-75.0396,23608
Rosemont,38.5477,-121.3553,23602
Seymour,38.9476,-85.8910,23598
Oakdale,37.7616,-120.8470,23596
Madisonville,37.3408,-87.5034,23580
Romulus,42.2237,-83.3660,23573
Cudahy,33.9631,-118.1830,23569
Copiague,40.6728,-73.3932,23561
Winter Gardens,32.8376,-116.9268,23545
Leland,34.2044,-78.0277,23544
Rolling Meadows,42.0747,-88.0252,23532
Wekiwa Springs,28.6984,-81.4251,23512
Northdale,28.1058,-82.5263,23510
Fort Hood,31.1345,-97.7797,23508
Benbrook,32.6787,-97.4638,23502
Zion,42.4598,-87.8509,23487
Watertown,43.1893,-88.7285,23479
Montrose,38.4690,-107.8590,23478
Hialeah Gardens,25.8878,-80.3569,23474
Columbus,41.4368,-97.3563,23468
Plainview,34.1911,-101.7234,23424
Auburn,44.0850,-70.2492,23414
Carteret,40.5848,-74.2284,23408
Arnold,39.0437,-76.4974,23406
Avon,41.4485,-82.0187,23399
West Puente Valley,34.0512,-117.9681,23382
Loves Park,42.3364,-88.9975,23371
Vero Beach South,27.6164,-80.4130,23333
Lisle,41.7918,-88.0888,23270
Greenbelt,38.9953,-76.8885,23224
Granite Bay,38.7601,-121.1714,23183
Maywood,41.8798,-87.8442,23158
Dickinson,46.8917,-102.7924,23133
Oxford,39.5061,-84.7434,23113
Kenmore,47.7516,-122.2489,23097
Allison Park,40.5730,-79.9603,23092
Farmington,44.6573,-93.1688,23091
Monsey,41.1181,-74.0681,23055
Hastings,44.7318,-92.8538,23047
Rockingham,34.9386,-79.7608,23016
Greenfield,39.7936,-85.7737,23006
Auburn,41.3666,-85.0559,22994
Frederickson,47.0914,-122.3594,22994
Willoughby,41.6460,-81.4084,22977
Mustang,35.3917,-97.7246,22959
Patterson,37.4758,-121.1535,22930
Gallup,35.5183,-108.7423,22917
Radcliff,37.8206,-85.9366,22914
West Rancho Dominguez,33.9057,-118.2682,22901
Blue Island,41.6578,-87.6812,22899
Crystal,45.0377,-93.3599,22899
Belton,31.0525,-97.4790,22885
Pace,30.6187,-87.1667,22860
Marshall,32.5370,-94.3515,22831
Laguna Beach,33.5448,-117.7612,22827
Webster Groves,38.5866,-90.3544,22819
Acworth,34.0566,-84.6715,22818
Griffin,33.2418,-84.2747,22813
Willowbrook,33.9199,-118.2362,22811
Morton Grove,42.0423,-87.7890,22796
Keene,42.9494,-72.2997,22786
Marina,36.6812,-121.7895,22781
Solon,41.3864,-81.4401,22779
New Brighton,45.0658,-93.2060,22753
Mandan,46.8290,-100.8870,22752
